Date_of_publication,Municipality_name,Total_reported,Deceased
2020-05-13,Barendrecht,0,0
2020-05-14,Barendrecht,0,0
2020-05-15,Barendrecht,0,0
2020-05-16,Barendrecht,1,0
2020-05-17,Barendrecht,0,0
2020-05-18,Barendrecht,0,0
2020-05-19,Barendrecht,1,0
2020-05-20,Barendrecht,0,0
2020-05-21,Barendrecht,1,0
2020-05-22,Barendrecht,2,0
2020-05-23,Barendrecht,1,0
2020-05-24,Barendrecht,1,0
2020-05-25,Barendrecht,1,0
2020-05-26,Barendrecht,0,0
2020-05-27,Barendrecht,0,0
2020-05-28,Barendrecht,0,0
2020-05-29,Barendrecht,0,0
2020-05-30,Barendrecht,0,0
2020-05-31,Barendrecht,0,0
2020-05-01,Bodegraven-Reeuwijk,1,0
2020-05-02,Bodegraven-Reeuwijk,0,0
2020-05-03,Bodegraven-Reeuwijk,1,0
2020-05-04,Bodegraven-Reeuwijk,1,0
2020-05-05,Bodegraven-Reeuwijk,0,0
2020-05-06,Bodegraven-Reeuwijk,0,0
2020-05-07,Bodegraven-Reeuwijk,0,0
2020-05-08,Bodegraven-Reeuwijk,1,0
2020-05-09,Bodegraven-Reeuwijk,1,0
2020-05-10,Bodegraven-Reeuwijk,0,0
2020-05-11,Bodegraven-Reeuwijk,2,0
2020-05-12,Bodegraven-Reeuwijk,0,0
2020-05-13,Bodegraven-Reeuwijk,1,0
2020-05-14,Bodegraven-Reeuwijk,0,0
2020-05-15,Bodegraven-Reeuwijk,0,0
2020-05-16,Bodegraven-Reeuwijk,2,0
2020-05-17,Bodegraven-Reeuwijk,0,0
2020-05-18,Bodegraven-Reeuwijk,0,0
2020-05-19,Bodegraven-Reeuwijk,0,0
2020-05-20,Bodegraven-Reeuwijk,0,0
2020-05-21,Bodegraven-Reeuwijk,0,0
2020-05-22,Bodegraven-Reeuwijk,1,0
2020-05-23,Bodegraven-Reeuwijk,0,0
2020-05-24,Bodegraven-Reeuwijk,0,0
2020-05-25,Bodegraven-Reeuwijk,1,0
2020-05-26,Bodegraven-Reeuwijk,0,0
2020-05-27,Bodegraven-Reeuwijk,0,0
2020-05-28,Bodegraven-Reeuwijk,0,0
2020-05-29,Bodegraven-Reeuwijk,0,0
2020-05-30,Bodegraven-Reeuwijk,0,0
2020-05-31,Bodegraven-Reeuwijk,0,0
2020-05-01,Brielle,0,0
2020-05-02,Brielle,1,0
2020-05-03,Brielle,0,0
2020-05-04,Brielle,0,0
2020-05-05,Brielle,0,0
2020-05-06,Brielle,0,0
2020-05-07,Brielle,0,0
2020-05-08,Brielle,0,0
2020-05-09,Brielle,0,0
2020-05-10,Brielle,0,0
2020-05-11,Brielle,0,0
2020-05-12,Brielle,0,0
2020-05-13,Brielle,0,0
2020-05-14,Brielle,0,0
2020-05-15,Brielle,0,0
2020-05-16,Brielle,1,0
2020-05-17,Brielle,0,0
2020-05-18,Brielle,0,0
2020-05-19,Brielle,0,0
2020-05-20,Brielle,0,0
2020-05-21,Brielle,0,0
2020-05-22,Brielle,0,0
2020-05-23,Brielle,0,0
2020-05-24,Brielle,0,0
2020-05-25,Brielle,0,0
2020-05-26,Brielle,0,0
2020-05-27,Brielle,0,0
2020-05-28,Brielle,0,0
2020-05-29,Brielle,0,0
2020-05-30,Brielle,0,0
2020-05-31,Brielle,0,0
2020-05-01,Capelle aan den IJssel,2,0
2020-05-02,Capelle aan den IJssel,1,1
2020-05-03,Capelle aan den IJssel,2,0
2020-05-04,Capelle aan den IJssel,0,0
2020-05-05,Capelle aan den IJssel,2,1
