Date_of_publication,Municipality_name,Total_reported,Deceased
2020-12-03,Westland,54,1
2020-12-03,Midden-Delfland,11,0
2020-12-03,Kaag en Braassem,8,0
2020-12-03,Zuidplas,12,2
2020-12-03,Bodegraven-Reeuwijk,19,0
2020-12-03,Leidschendam-Voorburg,25,0
2020-12-03,Goeree-Overflakkee,20,0
2020-12-03,Pijnacker-Nootdorp,17,0
2020-12-03,Nissewaard,31,2
2020-12-03,Krimpenerwaard,24,0
2020-12-03,Hoeksche Waard,25,0
2020-12-03,Molenlanden,13,0
2020-12-04,Alblasserdam,8,0
2020-12-04,Alphen aan den Rijn,48,1
2020-12-04,Barendrecht,8,0
2020-12-04,Brielle,7,1
2020-12-04,Capelle aan den IJssel,17,0
2020-12-04,Delft,27,0
2020-12-04,Dordrecht,32,0
2020-12-04,Gorinchem,22,0
2020-12-04,Gouda,28,1
2020-12-04,'s-Gravenhage,117,3
2020-12-04,Hardinxveld-Giessendam,11,0
2020-12-04,Hellevoetsluis,17,0
2020-12-04,Hendrik-Ido-Ambacht,5,0
2020-12-04,Hillegom,5,0
2020-12-04,Katwijk,24,0
2020-12-04,Krimpen aan den IJssel,5,0
2020-12-04,Leiden,27,1
2020-12-04,Leiderdorp,13,0
2020-12-04,Lisse,11,0
2020-12-04,Maassluis,4,0
2020-12-04,Nieuwkoop,17,0
2020-12-04,Noordwijk,16,0
2020-12-04,Oegstgeest,10,0
2020-12-04,Papendrecht,7,1
2020-12-04,Ridderkerk,10,0
2020-12-04,Rotterdam,132,1
2020-12-04,Rijswijk,19,1
2020-12-04,Schiedam,22,1
2020-12-04,Sliedrecht,7,1
2020-12-04,Albrandswaard,3,0
2020-12-04,Westvoorne,6,0
2020-12-04,Vlaardingen,28,0
2020-12-04,Voorschoten,7,0
2020-12-04,Waddinxveen,14,0
2020-12-04,Wassenaar,6,0
2020-12-04,Zoetermeer,58,0
2020-12-04,Zoeterwoude,0,0
2020-12-04,Zwijndrecht,1,0
2020-12-04,Teylingen,18,0
2020-12-04,Lansingerland,28,0
2020-12-04,Westland,48,0
2020-12-04,Midden-Delfland,8,0
2020-12-04,Kaag en Braassem,8,0
2020-12-04,Zuidplas,9,0
2020-12-04,Bodegraven-Reeuwijk,21,0
2020-12-04,Leidschendam-Voorburg,16,0
2020-12-04,Goeree-Overflakkee,29,1
2020-12-04,Pijnacker-Nootdorp,27,0
2020-12-04,Nissewaard,27,2
2020-12-04,Krimpenerwaard,10,0
2020-12-04,Hoeksche Waard,12,0
2020-12-04,Molenlanden,17,0
2020-12-05,Alblasserdam,4,0
2020-12-05,Alphen aan den Rijn,54,0
2020-12-05,Barendrecht,8,1
2020-12-05,Brielle,5,0
2020-12-05,Capelle aan den IJssel,21,1
2020-12-05,Delft,64,0
2020-12-05,Dordrecht,54,0
2020-12-05,Gorinchem,13,0
2020-12-05,Gouda,40,0
2020-12-05,'s-Gravenhage,144,0
2020-12-05,Hardinxveld-Giessendam,2,0
2020-12-05,Hellevoetsluis,6,0
2020-12-05,Hendrik-Ido-Ambacht,17,0
2020-12-05,Hillegom,9,0
2020-12-05,Katwijk,35,0
2020-12-05,Krimpen aan den IJssel,14,0
2020-12-05,Leiden,29,0
2020-12-05,Leiderdorp,8,0
2020-12-05,Lisse,16,0
2020-12-05,Maassluis,2,0
2020-12-05,Nieuwkoop,7,0
2020-12-05,Noordwijk,11,0
2020-12-05,Oegstgeest,6,0
2020-12-05,Papendrecht,11,0
2020-12-05,Ridderkerk,9,2
2020-12-05,Rotterdam,155,0
2020-12-05,Rijswijk,14,0
2020-12-05,Schiedam,21,0
2020-12-05,Sliedrecht,21,0
2020-12-05,Albrandswaard,8,0
2020-12-05,Westvoorne,4,0
2020-12-05,Vlaardingen,26,0
2020-12-05,Voorschoten,8,0
2020-12-05,Waddinxveen,15,0
2020-12-05,Wassenaar,16,0
2020-12-05,Zoetermeer,67,0
2020-12-05,Zoeterwoude,3,0
2020-12-05,Zwijndrecht,22,0
2020-12-05,Teylingen,17,0
2020-12-05,Lansingerland,23,0
2020-12-05,Westland,72,0
2020-12-05,Midden-Delfland,5,0
2020-12-05,Kaag en Braassem,13,0
2020-12-05,Zuidplas,19,0
2020-12-05,Bodegraven-Reeuwijk,14,0
2020-12-05,Leidschendam-Voorburg,35,0
2020-12-05,Goeree-Overflakkee,16,1
2020-12-05,Pijnacker-Nootdorp,15,0
2020-12-05,Nissewaard,25,0
2020-12-05,Krimpenerwaard,15,0
2020-12-05,Hoeksche Waard,7,0
2020-12-05,Molenlanden,11,0
2020-12-06,Alblasserdam,10,0
2020-12-06,Alphen aan den Rijn,58,0
2020-12-06,Barendrecht,17,0
2020-12-06,Brielle,3,0
2020-12-06,Capelle aan den IJssel,29,0
2020-12-06,Delft,22,0
2020-12-06,Dordrecht,55,0
2020-12-06,Gorinchem,24,0
2020-12-06,Gouda,36,1
2020-12-06,'s-Gravenhage,151,0
2020-12-06,Hardinxveld-Giessendam,9,0
2020-12-06,Hellevoetsluis,17,0
2020-12-06,Hendrik-Ido-Ambacht,15,0
2020-12-06,Hillegom,8,0
2020-12-06,Katwijk,33,0
2020-12-06,Krimpen aan den IJssel,5,0
2020-12-06,Leiden,34,0
2020-12-06,Leiderdorp,9,0
2020-12-06,Lisse,18,0
2020-12-06,Maassluis,24,0
2020-12-06,Nieuwkoop,16,0
2020-12-06,Noordwijk,17,0
2020-12-06,Oegstgeest,13,0
2020-12-06,Papendrecht,10,0
2020-12-06,Ridderkerk,12,0
2020-12-06,Rotterdam,219,0
2020-12-06,Rijswijk,16,0
2020-12-06,Schiedam,60,0
2020-12-06,Sliedrecht,17,0
2020-12-06,Albrandswaard,9,0
2020-12-06,Westvoorne,1,0
2020-12-06,Vlaardingen,55,0
2020-12-06,Voorschoten,9,0
2020-12-06,Waddinxveen,22,1
2020-12-06,Wassenaar,12,0
2020-12-06,Zoetermeer,47,0
2020-12-06,Zoeterwoude,0,0
2020-12-06,Zwijndrecht,11,0
2020-12-06,Teylingen,16,0
2020-12-06,Lansingerland,26,0
2020-12-06,Westland,99,1
2020-12-06,Midden-Delfland,18,0
2020-12-06,Kaag en Braassem,9,0
2020-12-06,Zuidplas,22,0
2020-12-06,Bodegraven-Reeuwijk,15,0
2020-12-06,Leidschendam-Voorburg,24,0
2020-12-06,Goeree-Overflakkee,17,0
2020-12-06,Pijnacker-Nootdorp,22,0
2020-12-06,Nissewaard,19,0
2020-12-06,Krimpenerwaard,15,0
2020-12-06,Hoeksche Waard,34,0
2020-12-06,Molenlanden,11,0
2020-12-07,Alblasserdam,5,0
2020-12-07,Alphen aan den Rijn,77,0
2020-12-07,Barendrecht,41,0
2020-12-07,Brielle,6,0
2020-12-07,Capelle aan den IJssel,30,0
2020-12-07,Delft,35,0
2020-12-07,Dordrecht,62,0
2020-12-07,Gorinchem,34,0
2020-12-07,Gouda,25,0
2020-12-07,'s-Gravenhage,94,1
2020-12-07,Hardinxveld-Giessendam,20,0
2020-12-07,Hellevoetsluis,15,0
2020-12-07,Hendrik-Ido-Ambacht,25,0
2020-12-07,Hillegom,16,0
2020-12-07,Katwijk,46,0
2020-12-07,Krimpen aan den IJssel,23,0
2020-12-07,Leiden,34,0
2020-12-07,Leiderdorp,16,0
2020-12-07,Lisse,15,0
2020-12-07,Maassluis,19,1
2020-12-07,Nieuwkoop,20,1
2020-12-07,Noordwijk,17,0
2020-12-07,Oegstgeest,13,0
2020-12-07,Papendrecht,16,0
