Date_of_publication,Municipality_name,Total_reported,Deceased
2021-07-03,Westland,6,0
2021-07-03,Midden-Delfland,3,0
2021-07-03,Kaag en Braassem,2,0
2021-07-03,Zuidplas,0,0
2021-07-03,Bodegraven-Reeuwijk,3,0
2021-07-03,Leidschendam-Voorburg,3,0
2021-07-03,Goeree-Overflakkee,4,0
2021-07-03,Pijnacker-Nootdorp,4,0
2021-07-03,Nissewaard,7,0
2021-07-03,Krimpenerwaard,3,0
2021-07-03,Hoeksche Waard,0,0
2021-07-03,Molenlanden,2,0
2021-07-04,Alblasserdam,2,0
2021-07-04,Alphen aan den Rijn,7,0
2021-07-04,Barendrecht,2,0
2021-07-04,Brielle,0,0
2021-07-04,Capelle aan den IJssel,0,0
2021-07-04,Delft,13,0
2021-07-04,Dordrecht,10,0
2021-07-04,Gorinchem,0,0
2021-07-04,Gouda,2,0
2021-07-04,'s-Gravenhage,37,0
2021-07-04,Hardinxveld-Giessendam,1,0
2021-07-04,Hellevoetsluis,1,0
2021-07-04,Hendrik-Ido-Ambacht,1,0
2021-07-04,Hillegom,2,0
2021-07-04,Katwijk,2,0
2021-07-04,Krimpen aan den IJssel,0,0
2021-07-04,Leiden,22,0
2021-07-04,Leiderdorp,0,0
2021-07-04,Lisse,0,0
2021-07-04,Maassluis,0,0
2021-07-04,Nieuwkoop,0,0
2021-07-04,Noordwijk,3,0
2021-07-04,Oegstgeest,3,0
2021-07-04,Papendrecht,1,0
2021-07-04,Ridderkerk,0,0
2021-07-04,Rotterdam,64,0
2021-07-04,Rijswijk,4,0
2021-07-04,Schiedam,1,0
2021-07-04,Sliedrecht,3,0
2021-07-04,Albrandswaard,3,0
2021-07-04,Westvoorne,1,0
2021-07-04,Vlaardingen,2,0
2021-07-04,Voorschoten,5,0
2021-07-04,Waddinxveen,0,0
2021-07-04,Wassenaar,4,0
2021-07-04,Zoetermeer,5,0
2021-07-04,Zoeterwoude,0,0
2021-07-04,Zwijndrecht,2,0
2021-07-04,Teylingen,1,0
2021-07-04,Lansingerland,5,0
2021-07-04,Westland,4,0
2021-07-04,Midden-Delfland,0,0
2021-07-04,Kaag en Braassem,3,0
2021-07-04,Zuidplas,0,0
2021-07-04,Bodegraven-Reeuwijk,10,0
2021-07-04,Leidschendam-Voorburg,6,0
2021-07-04,Goeree-Overflakkee,1,0
2021-07-04,Pijnacker-Nootdorp,0,0
2021-07-04,Nissewaard,4,0
2021-07-04,Krimpenerwaard,4,0
2021-07-04,Hoeksche Waard,11,0
2021-07-04,Molenlanden,6,0
2021-07-05,Alblasserdam,3,0
2021-07-05,Alphen aan den Rijn,6,0
2021-07-05,Barendrecht,10,0
2021-07-05,Brielle,1,0
2021-07-05,Capelle aan den IJssel,0,0
2021-07-05,Delft,13,0
2021-07-05,Dordrecht,6,0
2021-07-05,Gorinchem,1,0
2021-07-05,Gouda,0,0
2021-07-05,'s-Gravenhage,62,0
2021-07-05,Hardinxveld-Giessendam,0,0
2021-07-05,Hellevoetsluis,2,0
2021-07-05,Hendrik-Ido-Ambacht,1,0
2021-07-05,Hillegom,1,0
2021-07-05,Katwijk,9,0
2021-07-05,Krimpen aan den IJssel,0,0
2021-07-05,Leiden,38,0
2021-07-05,Leiderdorp,2,0
2021-07-05,Lisse,0,0
2021-07-05,Maassluis,3,0
2021-07-05,Nieuwkoop,3,0
2021-07-05,Noordwijk,4,0
2021-07-05,Oegstgeest,2,0
2021-07-05,Papendrecht,3,0
2021-07-05,Ridderkerk,3,0
2021-07-05,Rotterdam,69,0
2021-07-05,Rijswijk,4,0
2021-07-05,Schiedam,2,0
2021-07-05,Sliedrecht,1,0
2021-07-05,Albrandswaard,2,0
2021-07-05,Westvoorne,1,0
2021-07-05,Vlaardingen,5,0
2021-07-05,Voorschoten,1,0
2021-07-05,Waddinxveen,1,0
2021-07-05,Wassenaar,3,0
2021-07-05,Zoetermeer,3,0
2021-07-05,Zoeterwoude,1,0
2021-07-05,Zwijndrecht,1,0
2021-07-05,Teylingen,6,0
2021-07-05,Lansingerland,5,0
2021-07-05,Westland,6,0
2021-07-05,Midden-Delfland,0,0
2021-07-05,Kaag en Braassem,7,0
2021-07-05,Zuidplas,4,0
2021-07-05,Bodegraven-Reeuwijk,4,0
2021-07-05,Leidschendam-Voorburg,10,0
2021-07-05,Goeree-Overflakkee,0,0
2021-07-05,Pijnacker-Nootdorp,4,0
2021-07-05,Nissewaard,1,0
2021-07-05,Krimpenerwaard,3,0
2021-07-05,Hoeksche Waard,7,0
2021-07-05,Molenlanden,3,0
2021-07-06,Alblasserdam,3,0
2021-07-06,Alphen aan den Rijn,10,0
2021-07-06,Barendrecht,9,0
2021-07-06,Brielle,2,0
2021-07-06,Capelle aan den IJssel,8,0
2021-07-06,Delft,17,0
2021-07-06,Dordrecht,11,0
2021-07-06,Gorinchem,2,0
2021-07-06,Gouda,4,0
2021-07-06,'s-Gravenhage,126,0
2021-07-06,Hardinxveld-Giessendam,0,0
2021-07-06,Hellevoetsluis,3,0
2021-07-06,Hendrik-Ido-Ambacht,0,0
2021-07-06,Hillegom,3,0
2021-07-06,Katwijk,2,0
2021-07-06,Krimpen aan den IJssel,3,0
2021-07-06,Leiden,43,0
2021-07-06,Leiderdorp,2,0
2021-07-06,Lisse,2,0
2021-07-06,Maassluis,2,0
2021-07-06,Nieuwkoop,1,0
2021-07-06,Noordwijk,11,0
