Date_of_publication,Municipality_name,Total_reported,Deceased
2020-07-13,Barendrecht,0,0
2020-07-14,Barendrecht,0,0
2020-07-15,Barendrecht,0,0
2020-07-16,Barendrecht,1,0
2020-07-17,Barendrecht,0,0
2020-07-18,Barendrecht,0,0
2020-07-19,Barendrecht,0,0
2020-07-20,Barendrecht,1,0
2020-07-21,Barendrecht,2,0
2020-07-22,Barendrecht,0,0
2020-07-23,Barendrecht,0,0
2020-07-24,Barendrecht,0,0
2020-07-25,Barendrecht,1,0
2020-07-26,Barendrecht,0,0
2020-07-27,Barendrecht,1,0
2020-07-28,Barendrecht,1,0
2020-07-29,Barendrecht,3,0
2020-07-30,Barendrecht,1,0
2020-07-31,Barendrecht,0,0
2020-07-01,Bodegraven-Reeuwijk,0,0
2020-07-02,Bodegraven-Reeuwijk,0,0
2020-07-03,Bodegraven-Reeuwijk,0,0
2020-07-04,Bodegraven-Reeuwijk,0,0
2020-07-05,Bodegraven-Reeuwijk,0,0
2020-07-06,Bodegraven-Reeuwijk,0,0
2020-07-07,Bodegraven-Reeuwijk,0,0
2020-07-08,Bodegraven-Reeuwijk,0,0
2020-07-09,Bodegraven-Reeuwijk,0,0
2020-07-10,Bodegraven-Reeuwijk,0,0
2020-07-11,Bodegraven-Reeuwijk,0,0
2020-07-12,Bodegraven-Reeuwijk,2,0
2020-07-13,Bodegraven-Reeuwijk,0,0
2020-07-14,Bodegraven-Reeuwijk,0,0
2020-07-15,Bodegraven-Reeuwijk,0,0
2020-07-16,Bodegraven-Reeuwijk,0,0
2020-07-17,Bodegraven-Reeuwijk,2,0
2020-07-18,Bodegraven-Reeuwijk,0,0
2020-07-19,Bodegraven-Reeuwijk,1,0
2020-07-20,Bodegraven-Reeuwijk,0,0
2020-07-21,Bodegraven-Reeuwijk,0,0
2020-07-22,Bodegraven-Reeuwijk,0,0
2020-07-23,Bodegraven-Reeuwijk,0,0
2020-07-24,Bodegraven-Reeuwijk,0,0
2020-07-25,Bodegraven-Reeuwijk,0,0
2020-07-26,Bodegraven-Reeuwijk,0,0
2020-07-27,Bodegraven-Reeuwijk,0,0
2020-07-28,Bodegraven-Reeuwijk,0,0
2020-07-29,Bodegraven-Reeuwijk,0,0
2020-07-30,Bodegraven-Reeuwijk,1,0
2020-07-31,Bodegraven-Reeuwijk,0,0
2020-07-01,Brielle,0,0
2020-07-02,Brielle,0,0
2020-07-03,Brielle,0,0
2020-07-04,Brielle,0,0
2020-07-05,Brielle,0,0
2020-07-06,Brielle,0,0
2020-07-07,Brielle,0,0
2020-07-08,Brielle,0,0
2020-07-09,Brielle,0,0
2020-07-10,Brielle,0,0
2020-07-11,Brielle,0,0
2020-07-12,Brielle,0,0
2020-07-13,Brielle,0,0
2020-07-14,Brielle,0,0
2020-07-15,Brielle,0,0
2020-07-16,Brielle,0,0
2020-07-17,Brielle,0,0
2020-07-18,Brielle,0,0
2020-07-19,Brielle,0,0
2020-07-20,Brielle,0,0
2020-07-21,Brielle,0,0
2020-07-22,Brielle,0,0
2020-07-23,Brielle,0,0
2020-07-24,Brielle,0,0
2020-07-25,Brielle,0,0
2020-07-26,Brielle,1,0
2020-07-27,Brielle,0,0
2020-07-28,Brielle,0,0
2020-07-29,Brielle,0,0
2020-07-30,Brielle,1,0
2020-07-31,Brielle,0,0
2020-07-01,Capelle aan den IJssel,3,0
2020-07-02,Capelle aan den IJssel,2,0
2020-07-03,Capelle aan den IJssel,1,0
2020-07-04,Capelle aan den IJssel,0,0
2020-07-05,Capelle aan den IJssel,1,0
