Date_of_publication,Municipality_name,Total_reported,Deceased
2022-01-03,Westland,102,0
2022-01-03,Midden-Delfland,21,0
2022-01-03,Kaag en Braassem,13,0
2022-01-03,Zuidplas,38,0
2022-01-03,Bodegraven-Reeuwijk,32,0
2022-01-03,Leidschendam-Voorburg,105,1
2022-01-03,Goeree-Overflakkee,21,0
2022-01-03,Pijnacker-Nootdorp,59,0
2022-01-03,Nissewaard,32,0
2022-01-03,Krimpenerwaard,37,0
2022-01-03,Hoeksche Waard,85,0
2022-01-03,Molenlanden,37,0
2022-01-04,Alblasserdam,11,0
2022-01-04,Alphen aan den Rijn,112,0
2022-01-04,Barendrecht,63,0
2022-01-04,Brielle,13,0
2022-01-04,Capelle aan den IJssel,73,0
2022-01-04,Delft,93,1
2022-01-04,Dordrecht,127,0
2022-01-04,Gorinchem,26,0
2022-01-04,Gouda,74,0
2022-01-04,'s-Gravenhage,464,1
2022-01-04,Hardinxveld-Giessendam,17,0
2022-01-04,Hellevoetsluis,28,0
2022-01-04,Hendrik-Ido-Ambacht,34,0
2022-01-04,Hillegom,23,0
2022-01-04,Katwijk,43,0
2022-01-04,Krimpen aan den IJssel,26,0
2022-01-04,Leiden,151,0
2022-01-04,Leiderdorp,21,0
2022-01-04,Lisse,16,0
2022-01-04,Maassluis,16,0
2022-01-04,Nieuwkoop,22,0
2022-01-04,Noordwijk,33,0
2022-01-04,Oegstgeest,23,0
2022-01-04,Papendrecht,23,0
2022-01-04,Ridderkerk,50,0
2022-01-04,Rotterdam,764,0
2022-01-04,Rijswijk,29,0
2022-01-04,Schiedam,61,0
2022-01-04,Sliedrecht,22,0
2022-01-04,Albrandswaard,39,0
2022-01-04,Westvoorne,10,0
2022-01-04,Vlaardingen,45,0
2022-01-04,Voorschoten,17,0
2022-01-04,Waddinxveen,29,0
2022-01-04,Wassenaar,28,0
2022-01-04,Zoetermeer,133,0
2022-01-04,Zoeterwoude,13,0
2022-01-04,Zwijndrecht,31,0
2022-01-04,Teylingen,33,1
2022-01-04,Lansingerland,61,0
2022-01-04,Westland,120,1
2022-01-04,Midden-Delfland,12,0
2022-01-04,Kaag en Braassem,27,0
2022-01-04,Zuidplas,45,0
2022-01-04,Bodegraven-Reeuwijk,48,0
2022-01-04,Leidschendam-Voorburg,61,0
2022-01-04,Goeree-Overflakkee,27,0
2022-01-04,Pijnacker-Nootdorp,46,0
2022-01-04,Nissewaard,58,0
2022-01-04,Krimpenerwaard,47,0
2022-01-04,Hoeksche Waard,87,0
2022-01-04,Molenlanden,28,0
2022-01-05,Alblasserdam,27,0
2022-01-05,Alphen aan den Rijn,142,0
2022-01-05,Barendrecht,58,0
2022-01-05,Brielle,35,0
2022-01-05,Capelle aan den IJssel,86,0
2022-01-05,Delft,193,0
2022-01-05,Dordrecht,182,0
2022-01-05,Gorinchem,36,0
2022-01-05,Gouda,103,0
2022-01-05,'s-Gravenhage,660,1
2022-01-05,Hardinxveld-Giessendam,15,0
2022-01-05,Hellevoetsluis,72,0
2022-01-05,Hendrik-Ido-Ambacht,37,0
2022-01-05,Hillegom,20,0
2022-01-05,Katwijk,82,0
2022-01-05,Krimpen aan den IJssel,32,0
2022-01-05,Leiden,255,0
2022-01-05,Leiderdorp,34,0
2022-01-05,Lisse,28,0
2022-01-05,Maassluis,47,0
2022-01-05,Nieuwkoop,40,0
2022-01-05,Noordwijk,80,0
2022-01-05,Oegstgeest,32,0
2022-01-05,Papendrecht,40,0
2022-01-05,Ridderkerk,46,0
2022-01-05,Rotterdam,1280,5
2022-01-05,Rijswijk,60,0
2022-01-05,Schiedam,104,1
2022-01-05,Sliedrecht,24,0
2022-01-05,Albrandswaard,27,0
2022-01-05,Westvoorne,26,0
2022-01-05,Vlaardingen,112,0
2022-01-05,Voorschoten,29,0
2022-01-05,Waddinxveen,40,0
2022-01-05,Wassenaar,62,0
2022-01-05,Zoetermeer,200,0
2022-01-05,Zoeterwoude,15,0
2022-01-05,Zwijndrecht,44,0
2022-01-05,Teylingen,63,0
2022-01-05,Lansingerland,95,0
2022-01-05,Westland,135,0
2022-01-05,Midden-Delfland,29,0
2022-01-05,Kaag en Braassem,37,0
2022-01-05,Zuidplas,43,0
2022-01-05,Bodegraven-Reeuwijk,66,0
2022-01-05,Leidschendam-Voorburg,80,3
2022-01-05,Goeree-Overflakkee,73,1
2022-01-05,Pijnacker-Nootdorp,97,1
2022-01-05,Nissewaard,142,0
2022-01-05,Krimpenerwaard,59,0
2022-01-05,Hoeksche Waard,92,0
2022-01-05,Molenlanden,48,0
2022-01-06,Alblasserdam,20,0
2022-01-06,Alphen aan den Rijn,155,0
2022-01-06,Barendrecht,67,0
2022-01-06,Brielle,29,0
2022-01-06,Capelle aan den IJssel,97,0
2022-01-06,Delft,127,0
2022-01-06,Dordrecht,141,0
2022-01-06,Gorinchem,57,0
2022-01-06,Gouda,70,0
2022-01-06,'s-Gravenhage,674,0
2022-01-06,Hardinxveld-Giessendam,19,0
2022-01-06,Hellevoetsluis,51,0
2022-01-06,Hendrik-Ido-Ambacht,27,0
2022-01-06,Hillegom,21,0
2022-01-06,Katwijk,87,0
2022-01-06,Krimpen aan den IJssel,28,0
2022-01-06,Leiden,232,0
2022-01-06,Leiderdorp,21,0
2022-01-06,Lisse,17,0
2022-01-06,Maassluis,41,0
2022-01-06,Nieuwkoop,33,0
2022-01-06,Noordwijk,46,0
2022-01-06,Oegstgeest,36,0
2022-01-06,Papendrecht,37,0
2022-01-06,Ridderkerk,41,0
2022-01-06,Rotterdam,1206,0
2022-01-06,Rijswijk,57,0
2022-01-06,Schiedam,79,0
2022-01-06,Sliedrecht,36,0
2022-01-06,Albrandswaard,35,0
2022-01-06,Westvoorne,25,0
2022-01-06,Vlaardingen,81,0
2022-01-06,Voorschoten,33,0
2022-01-06,Waddinxveen,28,0
2022-01-06,Wassenaar,46,0
2022-01-06,Zoetermeer,134,0
2022-01-06,Zoeterwoude,9,0
2022-01-06,Zwijndrecht,51,0
2022-01-06,Teylingen,41,0
2022-01-06,Lansingerland,71,0
2022-01-06,Westland,113,0
2022-01-06,Midden-Delfland,14,0
2022-01-06,Kaag en Braassem,21,0
2022-01-06,Zuidplas,39,0
2022-01-06,Bodegraven-Reeuwijk,36,0
2022-01-06,Leidschendam-Voorburg,82,0
2022-01-06,Goeree-Overflakkee,29,0
2022-01-06,Pijnacker-Nootdorp,59,0
2022-01-06,Nissewaard,103,0
2022-01-06,Krimpenerwaard,51,0
2022-01-06,Hoeksche Waard,114,0
2022-01-06,Molenlanden,59,0
2022-01-07,Alblasserdam,20,0
2022-01-07,Alphen aan den Rijn,163,0
2022-01-07,Barendrecht,119,0
2022-01-07,Brielle,38,0
2022-01-07,Capelle aan den IJssel,145,0
2022-01-07,Delft,177,0
2022-01-07,Dordrecht,210,0
2022-01-07,Gorinchem,41,0
2022-01-07,Gouda,124,0
2022-01-07,'s-Gravenhage,726,0
2022-01-07,Hardinxveld-Giessendam,32,0
2022-01-07,Hellevoetsluis,89,0
2022-01-07,Hendrik-Ido-Ambacht,36,0
2022-01-07,Hillegom,28,0
2022-01-07,Katwijk,111,0
2022-01-07,Krimpen aan den IJssel,50,0
2022-01-07,Leiden,249,0
2022-01-07,Leiderdorp,30,0
2022-01-07,Lisse,30,0
2022-01-07,Maassluis,74,0
2022-01-07,Nieuwkoop,41,0
2022-01-07,Noordwijk,66,1
2022-01-07,Oegstgeest,31,0
2022-01-07,Papendrecht,40,0
2022-01-07,Ridderkerk,87,0
2022-01-07,Rotterdam,2426,0
2022-01-07,Rijswijk,55,0
2022-01-07,Schiedam,193,0
2022-01-07,Sliedrecht,34,0
2022-01-07,Albrandswaard,52,0
2022-01-07,Westvoorne,35,0
2022-01-07,Vlaardingen,175,0
2022-01-07,Voorschoten,43,0
2022-01-07,Waddinxveen,46,0
2022-01-07,Wassenaar,38,0
2022-01-07,Zoetermeer,145,0
2022-01-07,Zoeterwoude,12,0
2022-01-07,Zwijndrecht,60,0
2022-01-07,Teylingen,44,0
2022-01-07,Lansingerland,222,0
2022-01-07,Westland,134,0
2022-01-07,Midden-Delfland,32,0
2022-01-07,Kaag en Braassem,33,0
2022-01-07,Zuidplas,53,0
2022-01-07,Bodegraven-Reeuwijk,60,0
2022-01-07,Leidschendam-Voorburg,78,0
2022-01-07,Goeree-Overflakkee,92,0
2022-01-07,Pijnacker-Nootdorp,75,0
2022-01-07,Nissewaard,133,0
2022-01-07,Krimpenerwaard,77,0
2022-01-07,Hoeksche Waard,120,1
2022-01-07,Molenlanden,56,0
2022-01-08,Alblasserdam,23,0
2022-01-08,Alphen aan den Rijn,224,0
2022-01-08,Barendrecht,81,0
2022-01-08,Brielle,20,1
2022-01-08,Capelle aan den IJssel,124,0
2022-01-08,Delft,225,0
2022-01-08,Dordrecht,212,0
2022-01-08,Gorinchem,43,0
2022-01-08,Gouda,145,0
2022-01-08,'s-Gravenhage,1079,0
2022-01-08,Hardinxveld-Giessendam,27,0
2022-01-08,Hellevoetsluis,60,0
2022-01-08,Hendrik-Ido-Ambacht,39,0
2022-01-08,Hillegom,46,0
2022-01-08,Katwijk,128,0
2022-01-08,Krimpen aan den IJssel,39,0
2022-01-08,Leiden,383,0
2022-01-08,Leiderdorp,57,0
2022-01-08,Lisse,55,0
2022-01-08,Maassluis,41,0
2022-01-08,Nieuwkoop,69,0
2022-01-08,Noordwijk,90,0
2022-01-08,Oegstgeest,48,0
2022-01-08,Papendrecht,37,0
2022-01-08,Ridderkerk,54,0
2022-01-08,Rotterdam,1576,0
2022-01-08,Rijswijk,94,0
2022-01-08,Schiedam,141,0
2022-01-08,Sliedrecht,46,0
2022-01-08,Albrandswaard,48,0
2022-01-08,Westvoorne,12,0
2022-01-08,Vlaardingen,93,0
2022-01-08,Voorschoten,59,0
2022-01-08,Waddinxveen,47,0
2022-01-08,Wassenaar,50,1
2022-01-08,Zoetermeer,233,0
2022-01-08,Zoeterwoude,18,0
2022-01-08,Zwijndrecht,61,0
2022-01-08,Teylingen,90,0
2022-01-08,Lansingerland,89,0
2022-01-08,Westland,167,0
2022-01-08,Midden-Delfland,30,0
2022-01-08,Kaag en Braassem,60,0
2022-01-08,Zuidplas,83,0
2022-01-08,Bodegraven-Reeuwijk,97,0
2022-01-08,Leidschendam-Voorburg,143,0
2022-01-08,Goeree-Overflakkee,50,0
2022-01-08,Pijnacker-Nootdorp,103,0
2022-01-08,Nissewaard,109,0
2022-01-08,Krimpenerwaard,92,0
2022-01-08,Hoeksche Waard,96,0
2022-01-08,Molenlanden,46,0
2022-01-09,Alblasserdam,10,0
2022-01-09,Alphen aan den Rijn,248,0
2022-01-09,Barendrecht,106,0
2022-01-09,Brielle,36,0
2022-01-09,Capelle aan den IJssel,109,0
2022-01-09,Delft,385,0
2022-01-09,Dordrecht,139,0
2022-01-09,Gorinchem,45,0
2022-01-09,Gouda,185,0
2022-01-09,'s-Gravenhage,1720,0
2022-01-09,Hardinxveld-Giessendam,30,0
2022-01-09,Hellevoetsluis,56,0
2022-01-09,Hendrik-Ido-Ambacht,42,0
2022-01-09,Hillegom,55,0
2022-01-09,Katwijk,133,0
2022-01-09,Krimpen aan den IJssel,51,0
2022-01-09,Leiden,450,0
2022-01-09,Leiderdorp,76,0
2022-01-09,Lisse,58,0
2022-01-09,Maassluis,58,0
2022-01-09,Nieuwkoop,85,0
2022-01-09,Noordwijk,108,0
2022-01-09,Oegstgeest,68,0
2022-01-09,Papendrecht,33,0
2022-01-09,Ridderkerk,73,0
2022-01-09,Rotterdam,1800,0
2022-01-09,Rijswijk,147,0
2022-01-09,Schiedam,175,0
2022-01-09,Sliedrecht,28,0
2022-01-09,Albrandswaard,55,0
2022-01-09,Westvoorne,21,0
2022-01-09,Vlaardingen,116,0
2022-01-09,Voorschoten,63,0
2022-01-09,Waddinxveen,53,0
2022-01-09,Wassenaar,82,0
2022-01-09,Zoetermeer,233,0
2022-01-09,Zoeterwoude,24,0
2022-01-09,Zwijndrecht,45,0
2022-01-09,Teylingen,91,0
2022-01-09,Lansingerland,125,0
2022-01-09,Westland,279,0
2022-01-09,Midden-Delfland,37,0
2022-01-09,Kaag en Braassem,79,0
2022-01-09,Zuidplas,108,0
2022-01-09,Bodegraven-Reeuwijk,99,0
2022-01-09,Leidschendam-Voorburg,208,0
2022-01-09,Goeree-Overflakkee,66,0
2022-01-09,Pijnacker-Nootdorp,161,0
2022-01-09,Nissewaard,112,0
2022-01-09,Krimpenerwaard,123,0
2022-01-09,Hoeksche Waard,74,0
2022-01-09,Molenlanden,71,0
2022-01-10,Alblasserdam,25,0
2022-01-10,Alphen aan den Rijn,168,0
2022-01-10,Barendrecht,79,0
2022-01-10,Brielle,22,0
2022-01-10,Capelle aan den IJssel,87,0
2022-01-10,Delft,228,1
2022-01-10,Dordrecht,188,0
2022-01-10,Gorinchem,52,0
2022-01-10,Gouda,112,0
2022-01-10,'s-Gravenhage,882,0
2022-01-10,Hardinxveld-Giessendam,20,0
2022-01-10,Hellevoetsluis,43,0
2022-01-10,Hendrik-Ido-Ambacht,56,0
2022-01-10,Hillegom,48,0
2022-01-10,Katwijk,94,0
2022-01-10,Krimpen aan den IJssel,46,0
2022-01-10,Leiden,252,0
2022-01-10,Leiderdorp,46,0
2022-01-10,Lisse,33,0
2022-01-10,Maassluis,35,0
2022-01-10,Nieuwkoop,47,0
2022-01-10,Noordwijk,75,0
2022-01-10,Oegstgeest,34,0
2022-01-10,Papendrecht,34,0
2022-01-10,Ridderkerk,65,0
2022-01-10,Rotterdam,1299,0
2022-01-10,Rijswijk,85,0
2022-01-10,Schiedam,86,0
2022-01-10,Sliedrecht,20,0
2022-01-10,Albrandswaard,52,0
2022-01-10,Westvoorne,23,0
2022-01-10,Vlaardingen,58,0
2022-01-10,Voorschoten,50,0
2022-01-10,Waddinxveen,28,0
2022-01-10,Wassenaar,65,0
2022-01-10,Zoetermeer,207,0
2022-01-10,Zoeterwoude,14,0
2022-01-10,Zwijndrecht,63,0
2022-01-10,Teylingen,70,0
2022-01-10,Lansingerland,101,0
2022-01-10,Westland,140,0
2022-01-10,Midden-Delfland,10,0
2022-01-10,Kaag en Braassem,35,0
2022-01-10,Zuidplas,70,0
2022-01-10,Bodegraven-Reeuwijk,63,0
2022-01-10,Leidschendam-Voorburg,129,0
2022-01-10,Goeree-Overflakkee,26,0
2022-01-10,Pijnacker-Nootdorp,81,0
2022-01-10,Nissewaard,90,0
2022-01-10,Krimpenerwaard,91,0
2022-01-10,Hoeksche Waard,110,0
2022-01-10,Molenlanden,56,0
2022-01-11,Alblasserdam,18,0
2022-01-11,Alphen aan den Rijn,204,0
2022-01-11,Barendrecht,80,0
2022-01-11,Brielle,28,0
2022-01-11,Capelle aan den IJssel,90,0
2022-01-11,Delft,182,0
2022-01-11,Dordrecht,180,0
2022-01-11,Gorinchem,43,0
2022-01-11,Gouda,126,0
2022-01-11,'s-Gravenhage,612,0
2022-01-11,Hardinxveld-Giessendam,25,0
2022-01-11,Hellevoetsluis,32,0
2022-01-11,Hendrik-Ido-Ambacht,39,0
2022-01-11,Hillegom,22,0
2022-01-11,Katwijk,128,0
