Date_of_publication,Municipality_name,Total_reported,Deceased
2020-04-18,Barendrecht,4,0
2020-04-19,Barendrecht,3,0
2020-04-20,Barendrecht,4,0
2020-04-21,Barendrecht,1,0
2020-04-22,Barendrecht,2,0
2020-04-23,Barendrecht,2,0
2020-04-24,Barendrecht,2,1
2020-04-25,Barendrecht,3,0
2020-04-26,Barendrecht,4,2
2020-04-27,Barendrecht,0,0
2020-04-28,Barendrecht,0,2
2020-04-29,Barendrecht,0,0
2020-04-30,Barendrecht,5,0
2020-04-01,Bodegraven-Reeuwijk,2,0
2020-04-02,Bodegraven-Reeuwijk,1,0
2020-04-03,Bodegraven-Reeuwijk,0,0
2020-04-04,Bodegraven-Reeuwijk,0,0
2020-04-05,Bodegraven-Reeuwijk,2,0
2020-04-06,Bodegraven-Reeuwijk,0,0
2020-04-07,Bodegraven-Reeuwijk,0,0
2020-04-08,Bodegraven-Reeuwijk,0,0
2020-04-09,Bodegraven-Reeuwijk,1,0
2020-04-10,Bodegraven-Reeuwijk,3,1
2020-04-11,Bodegraven-Reeuwijk,2,0
2020-04-12,Bodegraven-Reeuwijk,3,0
2020-04-13,Bodegraven-Reeuwijk,0,0
2020-04-14,Bodegraven-Reeuwijk,0,0
2020-04-15,Bodegraven-Reeuwijk,0,0
2020-04-16,Bodegraven-Reeuwijk,3,0
2020-04-17,Bodegraven-Reeuwijk,1,0
2020-04-18,Bodegraven-Reeuwijk,1,0
2020-04-19,Bodegraven-Reeuwijk,1,0
2020-04-20,Bodegraven-Reeuwijk,0,0
2020-04-21,Bodegraven-Reeuwijk,0,0
2020-04-22,Bodegraven-Reeuwijk,0,0
2020-04-23,Bodegraven-Reeuwijk,3,0
2020-04-24,Bodegraven-Reeuwijk,0,0
2020-04-25,Bodegraven-Reeuwijk,4,0
2020-04-26,Bodegraven-Reeuwijk,0,0
2020-04-27,Bodegraven-Reeuwijk,1,0
2020-04-28,Bodegraven-Reeuwijk,2,0
2020-04-29,Bodegraven-Reeuwijk,1,0
2020-04-30,Bodegraven-Reeuwijk,0,0
2020-04-01,Brielle,2,0
2020-04-02,Brielle,2,0
2020-04-03,Brielle,2,0
2020-04-04,Brielle,1,0
2020-04-05,Brielle,0,0
2020-04-06,Brielle,0,0
2020-04-07,Brielle,0,0
2020-04-08,Brielle,1,0
2020-04-09,Brielle,1,0
2020-04-10,Brielle,1,0
2020-04-11,Brielle,0,0
2020-04-12,Brielle,1,0
2020-04-13,Brielle,0,0
2020-04-14,Brielle,0,0
2020-04-15,Brielle,1,0
2020-04-16,Brielle,0,0
2020-04-17,Brielle,1,0
2020-04-18,Brielle,0,0
2020-04-19,Brielle,1,0
2020-04-20,Brielle,0,0
2020-04-21,Brielle,0,0
2020-04-22,Brielle,0,0
2020-04-23,Brielle,1,0
2020-04-24,Brielle,0,0
2020-04-25,Brielle,0,0
2020-04-26,Brielle,0,0
2020-04-27,Brielle,1,0
2020-04-28,Brielle,0,0
2020-04-29,Brielle,0,0
2020-04-30,Brielle,2,0
2020-04-01,Capelle aan den IJssel,9,0
2020-04-02,Capelle aan den IJssel,4,3
2020-04-03,Capelle aan den IJssel,6,1
2020-04-04,Capelle aan den IJssel,10,0
2020-04-05,Capelle aan den IJssel,4,0
2020-04-06,Capelle aan den IJssel,23,1
2020-04-07,Capelle aan den IJssel,2,6
2020-04-08,Capelle aan den IJssel,8,0
2020-04-09,Capelle aan den IJssel,10,5
2020-04-10,Capelle aan den IJssel,3,0
2020-04-11,Capelle aan den IJssel,12,0
2020-04-12,Capelle aan den IJssel,11,1
2020-04-13,Capelle aan den IJssel,6,1
2020-04-14,Capelle aan den IJssel,5,1
2020-04-15,Capelle aan den IJssel,6,1
2020-04-16,Capelle aan den IJssel,8,1
2020-04-17,Capelle aan den IJssel,13,2
2020-04-18,Capelle aan den IJssel,11,1
2020-04-19,Capelle aan den IJssel,6,3
2020-04-20,Capelle aan den IJssel,3,2
2020-04-21,Capelle aan den IJssel,7,2
2020-04-22,Capelle aan den IJssel,3,1
2020-04-23,Capelle aan den IJssel,8,1
2020-04-24,Capelle aan den IJssel,8,1
2020-04-25,Capelle aan den IJssel,2,4
2020-04-26,Capelle aan den IJssel,5,0
2020-04-27,Capelle aan den IJssel,1,0
2020-04-28,Capelle aan den IJssel,0,0
2020-04-29,Capelle aan den IJssel,2,4
2020-04-30,Capelle aan den IJssel,4,1
2020-04-01,Delft,6,0
2020-04-02,Delft,0,0
