,,Gemiddeld,40% huishoudens,20% huishoudens
,,persoonlijk ,met laagste,met hoogste
,,inkomen,besteedbaar,besteedbaar
,,per inwoner,inkomen,inkomen
,,,,
,Regionaam,x 1000 euro,%,
GM0225,Druten,26.4,32.5,22.9
,Druten,26.2,32.9,21.1
,Puiflijk,28,27.3,30.7
,Afferden,25.5,32,27.9
,Deest,24.9,39.5,17.4
,Horssen,29.7,25,33
GM0226,Duiven,26.8,31.6,23.5
,Wijk 01 Bedrijventerrein,.,.,.
,Wijk 02 Buitengebied,26.9,.,.
,Wijk 03 Duiven-Noord,25.6,33.5,20.1
,Wijk 04 Duiven-Zuid,28.1,31.6,25.8
,Wijk 05 Groessen,28.6,21.8,33.9
,Wijk 06 Loo,29,24,32.3
GM0228,Ede,26,34.4,22
,Ede-Oost,30,43.4,17.9
,Ede-West,25.6,41,16.8
,Ede-Veldhuizen,22.6,39.9,12.6
,Kernhem,26.1,14.5,32.6
,Veluwse Poort,33.2,19.8,35.4
,Ede-Zuid,22.9,48,14.7
,Maandereng,23.3,31.5,15.6
,Rietkampen,26.7,21,25.1
,Bedrijventerrein,22,44.3,20.6
,Buitengebied Ede-Stad,28.2,26.6,40
,Bennekom,29.6,29,27.4
,Lunteren,26.7,27.8,31.3
,Ederveen,23.7,26.1,33.2
,De Klomp,26.5,40.3,23.9
,Harskamp,23.9,24.9,34.3
,Wekerom,23.9,30.5,25.9
,Otterlo,27.3,27.1,32.4
GM0230,Elburg,23.7,31.1,20.5
,Wijk 01 Elburg,23.8,32.2,19.3
,Wijk 02,23.7,30.7,17.9
,Wijk 03 Doornspijk,23.3,28.6,28.7
GM0232,Epe,25.9,34.6,20.7
,Wijk 00 Epe,27.4,35.7,20.4
,Wijk 01 Emst,25.7,25.5,28.5
,Wijk 02 Vaassen,24.2,36.1,18.5
,Wijk 03 Oene,24.6,26.6,27.5
GM0233,Ermelo,27.2,33.6,23.3
,Schil rondom het centrum,26.9,31.9,22.9
,Centrum Ermelo,28.4,41,17.2
,Tonsel en Veldzicht,27.7,40.6,23.4
,Buitengebied west,27.1,35.8,27.9
,Buitengebied midden,30.5,.,.
,Buitengebied oost,28.1,29.1,38.4
GM0243,Harderwijk,25.7,35,20.8
,Binnenstad,31.8,47,15.6
,Waterfront,33.8,8.9,43.3
,Zeebuurt,23.1,42.3,13.8
,Friesegracht,30.4,31.2,27
,Stadsdennen,21.6,43.9,13.8
,De Sypel,26.3,23.8,22.3
,Stationsomgeving,25.9,62.4,12.8
,Stadsweiden,24.6,41,15.7
,Slingerbos,28.7,17.1,27.1
,Tweelingstad,22.2,41.1,14.9
,Frankrijk,26.9,26,27.5
,Drielanden,27.6,21,30
,Industrieterrein Lorentz,.,.,.
,Buitengebied Harderwijk,28.3,49.7,14.9
,Hierden,27.8,31.4,28.9
GM0244,Hattem,27.2,30.2,23.6
,Wijk 00 Hattem,26.9,31.1,22.4
,Wijk 01 Polder Hattem en Molecaten,31.2,16.6,41.9
GM0246,Heerde,25.7,29.4,22
,Wijk 00 Heerde,26.3,29.4,22.3
,Wijk 01 Wapenveld,24.4,29.2,21.3
GM0252,Heumen,29.9,30,28
,Wijk 00 Heumen,30.2,31,27.4
,Wijk 01 Overasselt,28.8,25.8,30.4
GM0262,Lochem,28.4,31.5,24.7
,Wijk 00 Lochem kern,27,36,18.7
,Wijk 01 Lochem buitengebied,31.3,28.1,36
,Wijk 02 Laren,27,28.2,28.4
,Wijk 03 Barchem,27.3,27,27.7
,Wijk 04 Gorssel,30.5,29.3,27.4
,Wijk 01 Almen-Harfsen,28.1,28.5,28.9
GM0263,Maasdriel,27.1,31.8,26.4
,Wijk 00 Kerkdriel,26.4,33.3,26
,Wijk 01 Ammerzoden,27.1,31.8,26.1
,Wijk 02 Hedel,27.8,28.5,27.2
,Wijk 03 Heerewaarden,26,36.1,19.8
,Wijk 04 Rossum,28.8,30.5,29.4
GM0267,Nijkerk,26.4,29.6,25.4
,Nijkerk-stad,25.1,32.3,21.9
,"Appel, Driedorp, Kruishaar, Prinsenkamp",30.3,25.9,40
,Nijkerkerveen en Holkerveen,27.2,27.1,28.2
,"Arkemheen, Achterhoek, De Veenhuis",29.1,20,44.5
,Hoevelaken,29,23.6,31
GM0268,Nijmegen,25.7,55.7,13.8
,Nijmegen-Centrum,26,71.7,5.4
,Nijmegen-Oost,29.8,61.4,15.1
,Nijmegen-Oud-West,24.3,59.2,10.2
,Nijmegen-Nieuw-West,23.5,59.2,11.6
,Nijmegen-Midden,27.4,53.9,17.8
,Nijmegen-Zuid,23.7,59.4,10.6
,Dukenburg,22.1,55.3,8.7
,Lindenholt,23.7,38.5,14
,Nijmegen-Noord,27.9,24.6,33.9
GM0269,Oldebroek,23.5,32.2,21
,Wijk 00 Oldebroek,23.3,32.2,21.6
,Wijk 01 Wezep,23.9,33.8,19.4
,Wijk 02 Oosterwolde,22.2,22,29.8
GM0273,Putten,25.9,30.1,25.9
,Wijk 00 Putten,25.6,30.3,25.2
,Wijk 01 Bosgebied en Krachtighuizen,29.8,28.5,34.4
GM0274,Renkum,30.7,35.5,23
,Renkum Zuid,26.6,37.1,20.2
,Renkum Noord,26.5,35.1,19.1
,Heelsum ten westen van de rijksweg,28.7,44.9,17.2
,Heelsum ten oosten van de rijksweg,64.6,.,.
,Wolfheze ten zuiden van het spoor,33.7,30.9,28.6
,Wolfheze ten noorden van het spoor,34.6,30.1,27.5
,Buitengebied Doorwerth,44.7,9.8,48
,Bebouwde kom Doorwerth,27.7,45.1,12.7
,Heveadorp,32.4,26.7,29.2
,Oosterbeek West,42.3,29.6,30.1
,Oosterbeek Zuidoost,34,29.5,30.1
,Oosterbeek Noordoost,33.7,30.7,29
GM0275,Rheden,26.5,42.8,17.1
,Wijk 00 Dieren,25.8,38.5,16.4
,Wijk 01 Rheden,25.9,38.7,17.2
,Wijk 02 Velp,27.5,48.3,17.6
GM0277,Rozendaal,39.7,13.6,50.1
,Wijk 00,39.7,13.6,50.1
GM0279,Scherpenzeel,25.1,27.8,24.1
,Wijk 00,25.1,27.8,24.1
GM0281,Tiel,24.9,40.4,17.5
,Tiel kern,22.4,51.3,10.1
,Tiel-Noord,25.9,37.6,19.4
,Wadenoijen en Kapel Avezaath,27.9,24.4,32.2
,Tiel-Zuid,28.3,18.4,31.4
GM0285,Voorst,27.1,30.4,25.1
,Wijk 00 Voorst,26.7,30.9,24.8
,Wijk 01 Twello-Nijbroek,27,32.1,23.5
,Wijk 02 Klarenbeek-Teuge,27.1,22.6,33.4
,Wijk 03 Wilp,27.7,26.1,27.3
GM0289,Wageningen,24.5,57.9,14.1
,Noordwest,29.2,28.4,31
,Wageningen Universiteit,7.5,98.7,0.1
,De Weiden en Boomgaarden,28.4,34.9,21.8
,De Horsten,24.4,39.6,17.4
,Kortenoord,17,76.3,8.3
,De Buurt,20.8,68.5,5.8
,Boven- en Benedenbuurt,24.1,53.2,12.8
,Nude,22.4,63.6,5
,Centrum,22.8,71.8,8
,Veluvia-Hamelakkers,33,39.5,27.6
,Wageningen-Hoog,47.6,8,56.2
,Buitengebied,30.7,38.2,30.8
GM0293,Westervoort,25.3,36.1,16.5
,Wijk 00,25.3,36.1,16.5
GM0294,Winterswijk,23.8,38.6,16
,Wijk 00 Stad,23.1,41.5,13
,Wijk 01 Land,26.3,26,29
GM0296,Wijchen,26.9,32.9,23.1
,Wijk 00 Wijchen buitengebied,31.5,.,.
,Wijk 01 Wijchen kern,26.7,33.9,21.9
,Wijk 02 Balgoij,28,17.4,37.5
,Wijk 03 Batenburg,25.8,27.4,26.3
,Wijk 04 Bergharen,27.9,22.3,31.3
,Wijk 05 Hernen,27.9,20.2,32
,Wijk 06 Leur,27.3,.,.
,Wijk 07 Niftrik,27.8,23.5,34.9
,Wijk 08 Alverna,27.5,39.5,23.5
GM0297,Zaltbommel,26.4,32.3,23.8
,Wijk 00 Zaltbommel,27.5,35.3,21.4
,Wijk 01 Brakel,24.5,31.7,23
,Wijk 02 Kerkwijk,27.4,28.1,28.6
,Wijk 03 Nederhemert,24.2,24.7,31.9
GM0299,Zevenaar,25,37.6,16.3
,Zevenaar,24.8,39,14.5
,Babberich,25,36.2,19.1
,Angerlo,29.4,27,24.9
,Giesbeek,28,31.1,22.6
,Lathum,29.2,29.4,29.4
,Rijnstrangen,.,.,.
,Pannerden,24.2,32.5,19.5
,Aerdt,24.9,26.2,26.8
,Herwen,25.4,32.9,20.9
,Lobith,21.4,47.9,10.1
,Tolkamer,25.5,36.1,16
,Spijk,22,43.8,12.9
GM0301,Zutphen,24.9,43,15.5
,Wijk 00 Centrum - De Hoven,27.5,50.5,13.7
,Wijk 01 Waterkwartier,20.8,58.4,7.9
,Wijk 02 Noordveen,23.9,42,14.2
,Wijk 03 Zuidwijken,22.9,42.7,11.7
,Wijk 04 Leesten,27.4,20.3,27.8
,Wijk 05 Warnsveld,27,33.5,21
GM0302,Nunspeet,24.6,32,22.7
,Wijk 00 Nunspeet,24.7,33.2,21.2
,Wijk 01 Elspeet-Vierhouten,24.2,26.3,29.8
GM0303,Dronten,25.9,34.2,21
,Wijk 01 Dronten west,27.6,21.6,31.8
,Wijk 02 Dronten Noord,19,47.3,10.7
,Wijk 03 Dronten Midden,22.5,52.3,9.5
,Wijk 04 Dronten Zuid,28.1,24.6,23.8
,Wijk 05 Buitengebied Dronten,30.8,33.1,34
,Wijk 06 Biddinghuizen,24.8,39.4,17.6
,Wijk 07 Swifterbant,25.4,32.1,20.8
GM0307,Amersfoort,29.2,35.3,24.9
,Stadskern,34.3,51.1,15.2
,Nederberg,34.3,59.2,13.9
,Soesterkwartier,25.9,46.2,14.9
,Eemkwartier,41.6,.,.
,Isselt,21.5,.,.
,De Koppel,25.4,48.1,14.3
,Kruiskamp,23.2,50.6,13.8
,Schothorst-Zuid,25.1,47,15.7
,Schothorst-Noord,27.2,36.3,17.7
,Liendert,21.3,49.7,8.9
,Rustenburg,25.7,31.5,19
,Buitengebied-Oost,31.3,27.2,42
,Schuilenburg,23.1,44.3,11.6
,Randenbroek,27,47.5,15.6
,Vermeerkwartier,32.2,39.3,28.7
,Leusderkwartier,32.1,35.5,29.2
,De Berg-Zuid,33.1,39.1,29.9
,De Berg-Noord,49.2,12.3,57.2
,Hoogland,29.6,22.1,29
,Zielhorst,28.2,28.9,27
,Kattenbroek,30.5,28.1,29.7
,Calveen,33,.,.
,Nieuwland,30.2,20.3,34.5
,De Hoef,26.3,72.4,0.9
,Hooglanderveen,31,21.3,41.2
,Hoogland-West,35.9,22.3,45.2
,Vathorst-De Velden,30.7,17.7,44.4
,Vathorst-Centrum,30.6,15.4,41
,Vathorst-De Bron,29.8,14.5,39.3
,Vathorst-De Laak,30.3,25.9,34.1
,Vathorst-Bovenduist,.,.,.
,Bedrijventerrein Vathorst,.,.,.
,Bosgebied,38.7,39,23.3
GM0308,Baarn,32.2,33.9,25.8
,Wijk 00 Baarn,33,35.1,26
,"Wijk 01 Baarn-Noord, Eemdal en Eemland",27.5,35.3,21.5
,Wijk 02 P.H.W.park,54.2,16,49.9
,Wijk 04 Buitengebied,40.6,28,44.1
,Wijk 05 Lage Vuursche,32.7,35.3,24.1
GM0310,De Bilt,33.9,33.2,30.3
,Westbroek,29.9,21.9,34.4
,Hollandsche Rading,36.9,23.8,37.2
,Maartensdijk,26.4,34.2,23.7
,Groenekan,35.5,21.2,44.5
,De Leijen,29.3,37.5,21.6
,Bilthoven Noord,55.9,14.4,61.3
,Bilthoven Zuid Oost,38.5,28.2,33.6
,Bilthoven Zuid West,28.3,43.9,22
,De Bilt West,32.6,32.6,30.1
,De Bilt Oost,28.8,40.8,20.9
GM0312,Bunnik,31.8,24.9,34.3
,Wijk 00 Bunnik,32.4,26.7,35
,Wijk 01 Odijk,31.7,23.5,32.3
,Wijk 02 Werkhoven,30.2,23,36.9
GM0313,Bunschoten,25.5,26.8,27
,Wijk 00,25.5,26.8,27
GM0317,Eemnes,30,26.6,30
,Eemnes,30,26.6,30
GM0321,Houten,31,26.1,33.9
,Houten Noord-West,31.6,26.2,33.3
,Houten Noord-Oost,28.2,39.7,21.3
,Houten Zuid-West,31.5,19.6,38.5
,Houten Zuid-Oost,32.7,17,45
,Houten Buitengebied,29.9,26.9,35.7
,'t Goy,28.7,28.4,30.3
,'t Goy Buitengebied,28.5,.,.
,Tull en 't Waal,32.5,16.1,37.9
,Tull en 't Waal Buitengebied,.,.,.
,Schalkwijk,28.6,27.6,31
,Schalkwijk Buitengebied,33,16.1,52.4
GM0327,Leusden,30.4,26.5,28.7
,Wijk 00 Leusden-Centrum Oost,29.9,28,23.6
,Wijk 01 Leusden-Centrum West,29.8,25.5,27.2
,Wijk 02 Leusden-Zuid,33.6,18,43.5
,Wijk 03 Achterveld,29,30.7,29.8
,Wijk 04 Stoutenburg,30.5,21.4,40.7
,Wijk 05 't Ruige Veld,29.7,33.2,24.8
GM0331,Lopik,26.5,27.2,30.3
,"Wijk 00 Lopik, Benschop en Polsbroek",26.5,27.2,30.3
GM0335,Montfoort,28.5,25.8,30.2
,Wijk 00,27.9,28.8,26.3
,Wijk 01 Linschoten,29.3,20.9,35.5
,Wijk 02 Willeskop,30.6,23.4,42.2
GM0339,Renswoude,26.7,25.1,29.5
,Wijk 00,26.7,25.1,29.5
GM0340,Rhenen,26.3,33.6,23.5
,Wijk 00 Rhenen,27,51,11.6
,Wijk 01 Rhenen Oost,29.2,27.9,29.2
,Wijk 02 Rhenen West,24.9,36.5,17.6
,Wijk 03 Rhenen Noord,24,44.1,15.5
,Wijk 04 Grebbeberg,.,.,.
,Wijk 05 Randzone,30.4,22.1,31.9
,Wijk 06 Binnenveld,23,32.2,37.9
,Wijk 07 Achterberg,24.5,21,33.2
,Wijk 08 Uiterwaarden Rhenen,31.6,.,.
,Wijk 09 Remmerden,.,.,.
,Wijk 10 Heuvelrug Rhenen,.,.,.
,Wijk 11 Heuvelrug Elst,.,.,.
,Wijk 12 Uiterwaarden Elst,.,.,.
,Wijk 13 Elst,26.2,28.4,25.6
GM0342,Soest,30.1,32.3,26.5
,Wijk 01 't Hart-Soestdijk,33.3,28.7,31.1
,Wijk 02 Klaarwater,24.6,46.3,12.6
,Wijk 03 Boerenstreek,31.3,18.5,39.4
,Wijk 04 de Eng-Soest-Midden,29.1,40.2,23.3
,Wijk 05 Smitsveen,23.7,43.1,15.5
,Wijk 06 Overhees,28.9,29.3,24.8
,Wijk 07 Soest-Zuid,36.9,18.5,42.1
,Wijk 08 Soesterberg,28.6,32.7,24.1
GM0344,Utrecht,29.3,47.4,20.7
,Wijk 01 West,31.3,46.8,22.2
,Wijk 02 Noordwest,26.7,52,14.5
,Wijk 03 Overvecht,19.6,61.8,7.5
,Wijk 04 Noordoost,34.5,44.7,26.2
,Wijk 05 Oost,32.7,60.1,17.8
,Wijk 06 Binnenstad,37.1,54.4,16
,Wijk 07 Zuid,27.1,50.7,17.3
,Wijk 08 Zuidwest,25.6,53,14
,Wijk 09 Leidsche Rijn,31,25.1,35
,Wijk 10 Vleuten-De Meern,30.8,22.8,38.5
GM0345,Veenendaal,25,36.1,19.6
,Centrum,25,54.8,7
,Noordoost,24.9,30,22.9
,Zuidoost,25.6,38.6,21.4
,Zuidwest,23.7,44.9,16
,Noordwest,23.1,39.5,15.6
,West,26.5,23.5,25.5
GM0351,Woudenberg,26.5,26.1,26.9
,Wijk 00 Woudenberg,26.5,26.1,26.9
GM0352,Wijk bij Duurstede,28.9,27.3,26.9
,Wijk 00 Wijk bij Duurstede,29,27.4,25.5
,Wijk 01 Landelijk gebied,33.2,20.9,46.9
,Wijk 02 Cothen,27.4,27.8,28.8
,Wijk 03 Langbroek,29.2,27.9,30.6
GM0353,IJsselstein,29,30.6,27.8
,Wijk 00 IJsselstein,29,30.6,27.8
GM0355,Zeist,32.3,39.5,26.1
,Zeist Centrum,37.2,36,28.7
,Zeist-Noord,25.9,51.9,18.5
,Zeist-West,27.1,37.3,23.6
,Zeist-Oost,35.2,36.4,29.1
,Den Dolder e.o.,41.5,27,38.1
GM0356,Nieuwegein,27.3,35.5,18.9
,Jutphaas Wijkersloot,24.6,48.1,11.3
,Zuilenstein,26.5,32.5,18.1
,Batau Zuid,25.9,29.1,21.1
,Batau Noord,28.1,31.7,19.9
,Doorslag,27.9,31.1,20.2
,Huis de Geer,31.4,24.1,28.7
,Blokhoeve,34.5,25.7,34.1
,Galecop,29.1,31.2,26.9
,Fokkesteeg,26.1,33.8,18
,Hoogzandveld,25.4,26.4,19.4
,Lekboulevard,28.1,47,15
,Vreeswijk,28,38.3,20.9
,Merwestein,25.7,54.4,4.1
,Park Oudegein,.,.,.
,Zandveld,24.3,33.7,17
,Het Klooster,.,.,.
,Laagraven,.,.,.
,Plettenburg,32,.,.
,De Wiers,.,.,.
,Hoge Landen,.,.,.
,Stadscentrum,29.4,50.5,6.5
,Rijnhuizen,31.2,52.3,14.5
GM0358,Aalsmeer,30.3,29,31.8
,Wijk 00 Aalsmeer,30.2,33.9,26.7
,Wijk 01 Kudelstraat en Kalslagen,29.2,26.4,30
,Wijk 02 Oosteinde,31.6,24.2,41.1
GM0361,Alkmaar,27.1,39.8,18.2
,Zuid,29.1,41.6,21.9
,Oudorp,27.4,36,22.3
,Overdie,21.2,53.7,7.6
,West,28,43.9,16.6
,Huiswaard,24.2,43.7,11.6
,De Mare,24.4,41,12
,Daalmeer/Koedijk,25.7,35.4,19.3
,Centrum,33.2,43.7,15.4
,Schermer,29.2,28.6,30.3
,Graft-De Rijp,28.5,27.3,28.3
,Vroonermeer,30.3,21.3,35.1
GM0362,Amstelveen,34.1,39.2,26.4
,Randwijck,38.3,28.3,36.7
,Patrimonium,39.5,38.1,32.2
,Elsrijk,41,29,38.6
,Stadshart,40.3,29.7,28.5
,"Uilenstede, Kronenburg",13,94.8,0.6
,"Bankras, Kostverloren",31.6,40.4,21.4
,Buitengebied Noord,63.2,19.8,46.3
,Keizer Karelpark,31.9,42.3,21.5
,Groenelaan,30.1,50.4,14.4
,"Waardhuizen, Middenhoven",31.9,34,25.2
,Bovenkerk - Westwijk Noord,33.4,34.3,29.3
,Westwijk Zuid,36.4,16.9,47.8
,Buitengebied Zuid,36.6,29.9,36.4
,Amsterdamse Bos,32.8,.,.
GM0363,Amsterdam,31.3,50.9,17.5
,Burgwallen-Oude Zijde,34.5,57.4,12.8
,Burgwallen-Nieuwe Zijde,37.4,55,14.8
,Grachtengordel-West,62.2,38.3,32.6
,Grachtengordel-Zuid,61.3,40.3,29.6
,Nieuwmarkt/Lastage,38.5,52.4,17.8
,Haarlemmerbuurt,38,49.1,20.2
,Jordaan,40.7,54,16.5
,De Weteringschans,49.8,44.3,24.6
,Weesperbuurt/Plantage,43.1,47,22.9
,Oostelijke Eilanden/Kadijken,32.4,52.8,17.2
,Westelijk Havengebied,26.5,78.3,7.8
,Bedrijventerrein Sloterdijk,28.1,77.6,2.5
,Houthavens,48.7,25.5,40.3
,Spaarndammer- en Zeeheldenbuurt,28.5,56.9,13
,Staatsliedenbuurt,32.5,51.2,15.8
,Centrale Markt,32.2,42.7,21.9
,Frederik Hendrikbuurt,35.4,51.6,16.9
,Da Costabuurt,39.2,47.2,21.5
,Kinkerbuurt,36.4,50.4,17.9
,Van Lennepbuurt,31.1,57.3,12.2
,Helmersbuurt,42.5,45.8,23.5
,Overtoomse Sluis,42.3,44.1,24
,Vondelbuurt,55.9,43.9,30.4
,Zuidas,57,50.7,25.1
,Oude Pijp,38.1,52.2,17.7
,Nieuwe Pijp,36.6,52.7,17.5
,Zuid Pijp,26.2,61.6,10.8
,Weesperzijde,40.9,43.6,25.2
,Oosterparkbuurt,30.6,56.1,15.2
,Dapperbuurt,29.6,57,14.7
,Transvaalbuurt,26,56.6,13.8
,Indische Buurt West,26.4,54.3,13
,Indische Buurt Oost,23.3,58.3,10.6
,Oostelijk Havengebied,38.9,31.6,31.2
,Zeeburgereiland/Nieuwe Diep,28.7,60.8,13.4
,IJburg West,33.6,29.3,36
,Sloterdijk,42.5,35.1,27.2
,Landlust,26.5,53.3,12.8
,Erasmuspark,31.4,43.7,16.4
,De Kolenkit,21.8,59.7,10.8
,Geuzenbuurt,33.3,47.9,17.3
,Van Galenbuurt,26.7,59.2,9.9
,Hoofdweg e.o.,28.8,54.7,12.5
,Westindische Buurt,35.2,46.2,20.4
,Hoofddorppleinbuurt,40,42.6,23.1
,Schinkelbuurt,38.8,50.5,18
,Willemspark,74.7,27.1,46.1
,Museumkwartier,64.1,32.1,38.6
,Stadionbuurt,36.7,49.5,20
,Apollobuurt,64.9,26.2,48.6
,IJburg Oost,.,.,.
,IJburg Zuid,31.6,28.9,35.1
,Scheldebuurt,41.2,42.2,27.6
,IJselbuurt,32,56.2,14
,Rijnbuurt,34.2,54.5,15.9
,Frankendael,31.2,57.2,16.9
,Middenmeer,35.9,46.8,26.5
,Betondorp,23.4,65.3,6.3
,Omval/Overamstel,37.1,61.8,16.6
,Prinses Irenebuurt e.o.,55.5,18.9,42.9
,Volewijck,20.2,64.5,7
,IJplein/Vogelbuurt,21.8,60.4,9.1
,Tuindorp Nieuwendam,23,58.6,10
,Tuindorp Buiksloot,21.8,57,10.5
,Nieuwendammerdijk/Buiksloterdijk,40.2,15.6,53.3
,Tuindorp Oostzaan,23.2,51.7,14.2
,Oostzanerwerf,24.4,44.2,17.8
,Kadoelen,29.5,29.6,32.2
,Waterlandpleinbuurt,20.2,51.3,10.5
,Buikslotermeer,21.4,59.6,7.4
,Banne Buiksloot,20.9,54.3,12.1
,Noordelijke IJ-oevers West,34.7,52.5,22.9
,Noordelijke IJ-oevers Oost,29.2,62.6,7.2
,Waterland,36,23.9,41.1
,Elzenhagen,30.3,31.3,34.7
,Chassébuurt,28.8,50.7,17.1
,Slotermeer-Noordoost,19.2,60.7,8.6
,Slotermeer-Zuidwest,19.7,60,8.9
,Geuzenveld,19,54.9,10.8
,Eendracht,25,36.3,20.6
,Lutkemeer/Ookmeer,27.1,41.6,27.6
,Osdorp-Oost,23.1,58.8,10.4
,Osdorp-Midden,21.2,52.2,12.8
,De Punt,20.8,53.3,9.7
,Middelveldsche Akerpolder,28.4,33.2,29.4
,Slotervaart Noord,23.8,52.9,15.7
,Overtoomse Veld,24.9,50.8,13.5
,Westlandgracht,31.6,56.9,14.6
,Sloter-/Riekerpolder,31.3,30.6,29.4
,Slotervaart Zuid,22.4,61.9,10.3
,Buitenveldert-West,38.1,45.5,21.4
,Buitenveldert-Oost,34.8,47.9,18.3
,Amstel III/Bullewijk,17.6,88.7,2.4
,"Bijlmer Centrum (D,F,H)",19.4,67.9,5.7
,"Bijlmer Oost (E,G,K)",21.7,59.5,9.8
,Nellestein,29.5,47,9.1
,Holendrecht/Reigersbos,20.9,57.2,8.4
,Gein,24,48,13.4
,Driemond,28.3,31.4,26.9
GM0373,Bergen (NH.),31.5,31.9,26.4
,Wijk 01 Bergen Binnen,34.4,32.6,28.4
,Wijk 02 Bergen aan Zee,39.4,28.3,35.8
,Wijk 03 Buitengebied Bergen,38.4,27.5,41.6
,Wijk 04 Egmond aan Zee,27.5,39.1,17
,Wijk 05 Egmond-Binnen,27.5,26.1,27
,Wijk 06 Egmond aan den Hoef,28.6,25.9,29.1
,Wijk 07 Schoorl,31.3,30.6,26
GM0375,Beverwijk,26.4,39.9,17.9
,Centrum,26,44.8,9.4
,Vondelkwartier,32.3,27.3,30.1
,Oranjebuurt,23.3,46,13
,Kuenenkwartier,23.1,52.6,8.2
,Warande,32.8,19.7,34.1
,Noordwestelijk tuinbouwgebied,30,15.5,32.1
,Oosterwijk en Zwaansmeer,21.2,53,9
,Meerestein,24.4,51.4,11
,Wijk aan Zee,30.3,37.7,19.5
,de Pijp en Wijkerbroek,27,.,.
,Broekpolder,28.1,12.5,42.8
GM0376,Blaricum,42.2,26.4,37.4
,Blaricum,42.2,26.4,37.4
GM0377,Bloemendaal,43.5,24.9,43.2
,Wijk 00 Bloemendaal,46.1,33.3,38.2
,Wijk 01 Overveen,45,19.5,52.4
,Wijk 02 Aerdenhout,53.6,12.2,63.3
,Wijk 03 Vogelenzang,32.1,32,27.9
,Wijk 04 Bennebroek,34.4,24.8,33.3
GM0383,Castricum,31,26.7,29.2
,Wijk 00 Centrum,32.5,28.9,25.4
,Wijk 01 Castricum-Noord,29.3,26.2,24.9
,Wijk 02 Castricum-Oost,31.8,28.3,27
,Wijk 03 Castricum-Zuid,32.1,22.1,35.6
,Wijk 04 Bakkum,34.6,30,37.3
,Wijk 05 Akersloot,29,23.6,29.6
,Wijk 06 De Woude,30.8,.,.
,Wijk 07 Limmen,30,24.3,33.2
GM0384,Diemen,28.2,44.6,20.7
,Diemen Noord,32.7,32.2,32.1
,Diemen Centrum,25.4,51,14.2
,Diemen Zuid,26.5,36.2,21.3
,Bergwijkpark,.,.,.
,Holland Park,25.7,71.9,6.8
,Bedrijventerreinen,.,.,.
,Plantage de Sniep,37.6,5.6,66.9
,Buitengebied,30.8,.,.
GM0385,Edam-Volendam,28.4,26.8,30.2
,Wijk 00 Edam,28.4,32.8,24.9
,Wijk 01 Purmer,28.8,.,.
,Wijk 02 Volendam,27.6,25.1,31.8
,Wijk 03 Beets,29.9,23.1,28.9
,Wijk 04 Oosthuizen,27.5,27.5,27
,Wijk 05 Warder,32.4,24,37.2
,Wijk 06 Middelie,42.5,27.4,33.7
,Wijk 07 Kwadijk,32.8,18.7,35.8
,Wijk 08 Schardam,34.2,.,.
,Wijk 09 Hobrede,38.2,.,.
GM0388,Enkhuizen,25.3,41.1,16.8
,Centrum en Havens,27.5,44.3,15.8
,Enkhuizen Noord,23.8,38.8,17.2
,Enkhuizen Buitengebied,29.9,.,.
,Enkhuizen Zuid,27.1,34.6,16.3
,Buitengebied IJsselmeer en Markermeer,.,.,.
GM0392,Haarlem,30.1,40.3,21.8
,Oude Stad,38,44.8,19.6
,Haarlemmerhoutkwartier,41.8,32.2,33.3
,Zijlwegkwartier,32.4,36.9,23.9
,Houtvaartkwartier,31.8,29.2,31.7
,Duinwijk,34.8,33.2,32.8
,Waarder- en Veerpolder,35.4,30.7,33
,Amsterdamsewijk,27.8,48,15.3
,Slachthuiswijk,24.1,53.3,10.1
,Parkwijk,25.4,45,15.7
,Transvaalwijk,29,45.2,17
,Indischewijk,27.6,31.6,22.7
,Ter Kleefkwartier,34.4,25.5,39.2
,Te Zaanenkwartier,32.5,27.1,31.1
,Vogelenwijk,28.5,28,29.8
,Delftwijk,24.7,51.6,9.4
,Vondelkwartier,26,39.6,24.7
,Spaarndam,29.5,33.8,26
,Europawijk,23.2,52.8,9.2
,Boerhaavewijk,21.8,45.7,15.2
,Molenwijk,26.9,42.3,15
,Meerwijk,19.8,57.5,9.1
GM0394,Haarlemmermeer,29.8,28.8,29.1
,Hoofddorp,29.4,29.9,27.6
,Nieuw-Vennep,29.5,25.4,31.5
,Zwanenburg,27.5,33.3,23.9
,Lijnden / Boesingheliede,30.6,31.9,27.9
,Badhoevedorp,34.1,30.1,32.7
,Aalsmeerderbrug/ Oude Meer/ Rozenburg /,29.5,35.4,24.3
,Rijsenhout,27.5,34.5,23.6
,Burgerveen / Leimuiderbrug / Weteringbru,29,28.3,30.7
,Abbenes / Buitenkaag,27.2,28.7,23.9
,Lisserbroek,28.3,24.1,31.3
,Beinsdorp,30.6,18.9,31.8
,Zwaanshoek,31.4,21.1,35
,Cruquius,34.2,23.6,36.4
,Vijfhuizen,33.2,24,35.9
,Schiphol,.,.,.
,Spaarndam,30.9,23.8,34.3
,Haarlemmerliede,31.6,24.3,32.4
,Halfweg,30.5,33.4,27.2
GM0396,Heemskerk,27.4,34.3,21.7
,Wijk 01 Heemskerk-Dorp,29.3,45.2,11.8
