Municipality,Nationaliteit,2020,2022
Krimpen aan den IJssel,Europa (ex. NL),311,347
Krimpen aan den IJssel,Oceanië,1,1
Krimpenerwaard,Totaal,56319,57062
Krimpenerwaard,Totaal niet-Nederlandse nationaliteit,1553,1549
Krimpenerwaard,Afrika,236,207
Krimpenerwaard,Amerika,39,42
Krimpenerwaard,Azië,372,353
Krimpenerwaard,Europa (ex. NL),819,896
Krimpenerwaard,Oceanië,2,1
Lansingerland,Totaal,62384,64110
Lansingerland,Totaal niet-Nederlandse nationaliteit,2097,2188
Lansingerland,Afrika,209,201
Lansingerland,Amerika,91,124
Lansingerland,Azië,595,575
Lansingerland,Europa (ex. NL),1079,1225
Lansingerland,Oceanië,3,4
Leiden,Totaal,125099,125074
Leiden,Totaal niet-Nederlandse nationaliteit,14547,14459
Leiden,Afrika,959,895
Leiden,Amerika,1194,996
Leiden,Azië,2973,2584
Leiden,Europa (ex. NL),8973,9666
Leiden,Oceanië,104,65
Leiderdorp,Totaal,27056,27464
Leiderdorp,Totaal niet-Nederlandse nationaliteit,1255,1388
Leiderdorp,Afrika,128,95
Leiderdorp,Amerika,66,69
Leiderdorp,Azië,347,316
Leiderdorp,Europa (ex. NL),656,852
Leiderdorp,Oceanië,5,4
Leidschendam-Voorburg,Totaal,76534,76659
Leidschendam-Voorburg,Totaal niet-Nederlandse nationaliteit,6993,7177
Leidschendam-Voorburg,Afrika,578,499
Leidschendam-Voorburg,Amerika,370,410
Leidschendam-Voorburg,Azië,1932,1919
Leidschendam-Voorburg,Europa (ex. NL),3840,4200
Leidschendam-Voorburg,Oceanië,19,17
Lisse,Totaal,22955,23015
Lisse,Totaal niet-Nederlandse nationaliteit,1101,1127
Lisse,Afrika,65,53
Lisse,Amerika,33,38
Lisse,Azië,174,141
Lisse,Europa (ex. NL),793,860
Lisse,Oceanië,0,0
Maassluis,Totaal,33213,34148
Maassluis,Totaal niet-Nederlandse nationaliteit,2188,2071
Maassluis,Afrika,255,202
Maassluis,Amerika,45,51
Maassluis,Azië,313,182
Maassluis,Europa (ex. NL),1493,1566
Maassluis,Oceanië,1,0
Midden-Delfland,Totaal,19341,19484
Midden-Delfland,Totaal niet-Nederlandse nationaliteit,629,625
Midden-Delfland,Afrika,77,78
Midden-Delfland,Amerika,31,36
Midden-Delfland,Azië,169,134
Midden-Delfland,Europa (ex. NL),316,346
Midden-Delfland,Oceanië,3,1
Molenlanden,Totaal,43909,44644
Molenlanden,Totaal niet-Nederlandse nationaliteit,1015,1119
Molenlanden,Afrika,84,73
Molenlanden,Amerika,31,39
Molenlanden,Azië,243,211
Molenlanden,Europa (ex. NL),588,745
Molenlanden,Oceanië,1,1
Nieuwkoop,Totaal,28811,29304
Nieuwkoop,Totaal niet-Nederlandse nationaliteit,1148,1226
Nieuwkoop,Afrika,97,77
Nieuwkoop,Amerika,22,28
Nieuwkoop,Azië,210,153
Nieuwkoop,Europa (ex. NL),779,938
Nieuwkoop,Oceanië,4,3
Nissewaard,Totaal,85219,86332
Nissewaard,Totaal niet-Nederlandse nationaliteit,3589,4223
Nissewaard,Afrika,222,225
Nissewaard,Amerika,152,167
Nissewaard,Azië,831,837
Nissewaard,Europa (ex. NL),2190,2857
Nissewaard,Oceanië,7,8
Noordwijk,Totaal,43508,44365
Noordwijk,Totaal niet-Nederlandse nationaliteit,3414,3342
Noordwijk,Afrika,130,132
Noordwijk,Amerika,74,86
Noordwijk,Azië,356,294
Noordwijk,Europa (ex. NL),2782,2779
Noordwijk,Oceanië,7,10
Oegstgeest,Totaal,24840,25499
Oegstgeest,Totaal niet-Nederlandse nationaliteit,2081,2310
Oegstgeest,Afrika,88,104
Oegstgeest,Amerika,114,123
Oegstgeest,Azië,346,372
Oegstgeest,Europa (ex. NL),1479,1657
Oegstgeest,Oceanië,12,14
Papendrecht,Totaal,32136,32208
Papendrecht,Totaal niet-Nederlandse nationaliteit,972,1020
Papendrecht,Afrika,96,99
Papendrecht,Amerika,39,46
Papendrecht,Azië,227,218
Papendrecht,Europa (ex. NL),521,599
Papendrecht,Oceanië,2,1
Pijnacker-Nootdorp,Totaal,55308,56572
Pijnacker-Nootdorp,Totaal niet-Nederlandse nationaliteit,2711,2806
Pijnacker-Nootdorp,Afrika,179,173
Pijnacker-Nootdorp,Amerika,150,136
Pijnacker-Nootdorp,Azië,885,876
Pijnacker-Nootdorp,Europa (ex. NL),1383,1527
Pijnacker-Nootdorp,Oceanië,9,7
Ridderkerk,Totaal,46189,47099
Ridderkerk,Totaal niet-Nederlandse nationaliteit,1638,1730
Ridderkerk,Afrika,182,179
Ridderkerk,Amerika,46,59
Ridderkerk,Azië,446,437
Ridderkerk,Europa (ex. NL),801,914
Ridderkerk,Oceanië,5,4
Rijswijk,Totaal,54450,56941
