Municipality_name,Total_reported,Deceased,<5 jaar,5 tot 10 jaar,10 tot 15 jaar,15 tot 20 jaar,20 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 tot 80 jaar,80 jaar of ouder,Total,pop_density,Totaal niet-Nederlandse nationaliteit,Afrika,Amerika,Azië,Europa (ex. NL),Oceanië,Avg personal income per inhabitant,40% households with lowest income,20% households with highest income,Positive tests per 100000,Farming Forestry and Fishery,Industry and energy,Commercial service,Non-commercial service
Nissewaard,6237,2,4324,4502,4453,4728,4664,20787,24722,13360,3679,86332,1178,4223,225,167,837,2857,8,27,37.2,19.2,7224.435898623917,0.1,2.0,10.7,7.2
Noordwijk,3513,1,1900,2185,2261,2528,2428,9807,12819,7400,2180,44365,760,3342,132,86,294,2779,10,29.9,34.5,24.8,7918.404147413502,0.5,1.6,10.1,5.8
Oegstgeest,2174,0,1376,1584,1549,1633,1097,5475,7066,3659,1401,25499,3496,2310,104,123,372,1657,14,37.7,25.7,36.2,8525.824542138907,.,.,3.0,3.2
Papendrecht,2134,0,1530,1772,1879,1975,1741,7231,8831,5389,1788,32208,3421,1020,99,46,218,599,1,27.5,32.3,22.1,6625.68306010929,.,5.1,6.1,.
Pijnacker-Nootdorp,5203,1,3036,3663,4184,4147,3003,12761,16287,6069,2158,56572,1534,2806,173,136,876,1527,7,30.5,23.9,35.8,9197.12932192604,0.9,1.6,9.6,5.1
Ridderkerk,3364,2,2330,2362,2293,2473,2398,10185,12737,8264,3147,47099,2006,1730,179,59,437,914,4,26.3,38.3,18.8,7142.402174143825,0.4,3.5,12.7,5.1
Rijswijk,4744,0,3427,3064,2589,2481,2441,14688,13918,8315,3527,56941,4078,5588,394,283,1200,3584,11,28.8,41.9,18.9,8331.430779227621,0.1,1.9,18.4,9.7
Rotterdam,62487,11,36158,34742,32629,35610,51274,200825,159775,74091,26053,655468,3001,85899,7675,4736,13237,57766,145,25.2,52.9,13.9,9533.188500430228,0.3,42.7,211.7,144.0
Schiedam,6404,1,4264,4074,4043,4346,4980,21772,21566,10245,3440,79644,4472,10837,513,355,1170,8577,18,25,45.6,15,8040.7814775752095,0.0,5.9,17.3,10.4
Sliedrecht,1864,1,1499,1554,1472,1526,1438,6249,6382,3635,1465,25897,2016,836,61,21,182,521,0,24.7,37.2,19.1,7197.744912538132,.,3.3,7.6,.
Teylingen,2922,1,1867,1986,2167,2537,2074,8226,11273,5328,1982,37942,1340,1975,117,74,293,1433,4,31.2,28.2,30.3,7701.228190395867,0.2,3.2,9.3,3.9
Vlaardingen,5827,4,3969,3999,3774,3853,4147,18601,19488,11236,4330,74143,3174,6510,394,130,606,5206,8,25.5,45,15.7,7859.137072953617,0.2,3.7,8.4,6.9
Voorschoten,2047,0,1277,1511,1679,1601,1173,5264,7115,4248,1728,25627,2306,1641,106,90,289,1118,7,33.1,29.7,31.2,7987.66925508253,0.0,0.4,2.8,2.1
Waddinxveen,2389,0,1889,1739,1620,1724,1537,7455,7579,4324,1424,31342,1129,1484,129,40,205,1069,2,26.9,31,23.8,7622.359772828792,.,.,8.3,2.3
Wassenaar,2314,1,1066,1459,1826,1959,1110,4245,7894,4605,2141,27115,530,4366,260,586,677,2755,56,46.5,32.4,35.7,8534.02175917389,0.0,0.6,3.0,3.1
Westland,9533,1,5865,6032,6452,6644,6452,27052,30475,16185,5218,112448,1392,7388,419,93,656,6084,9,27.3,32.3,26.5,8477.696357427434,9.3,9.2,45.5,10.0
Westvoorne,995,0,536,632,755,797,683,2594,4794,2896,1044,14960,281,378,15,14,95,246,1,34.2,27.8,32.3,6651.0695187165775,0.2,0.3,1.6,1.0
Zoetermeer,10700,1,6594,7178,7287,7442,6837,30994,34957,19150,4846,125767,3653,5562,588,289,1430,3064,8,27.7,35.3,21.1,8507.796162745395,0.1,5.0,27.7,20.2
Zoeterwoude,789,0,394,454,485,550,457,1811,2669,1373,412,9302,440,244,14,14,35,160,0,29.6,25.9,30.4,8482.046871640507,0.0,2.2,2.5,1.3
Zuidplas,3916,1,2631,2677,2610,2764,2327,10202,12537,6302,1835,45794,790,1558,173,55,285,960,4,29,28,29.4,8551.338603310478,1.0,3.7,7.9,3.1
Zwijndrecht,3044,0,2348,2398,2452,2509,2408,10632,11833,7309,2848,44789,2206,1981,227,48,382,1233,6,26,39,18.2,6796.311594364687,0.0,3.8,10.6,4.9
